Area,Measure,ANZSIC06,Year,Value,Flags
"Napier City","Employee Count","M Professional, Scientific and Technical Services","2003",1000,
"Napier City","Employee Count","K Financial and Insurance Services","2003",370,
"Napier City","Geographic Units","N Administrative and Support Services","2003",138,
"Hastings District","Geographic Units","N Administrative and Support Services","2003",144,
"Hastings District","Employee Count","K Financial and Insurance Services","2003",360,
"Hastings District","Employee Count","M Professional, Scientific and Technical Services","2003",1600,
"Wairoa District","Employee Count","M Professional, Scientific and Technical Services","2003",90,
"Wairoa District","Employee Count","K Financial and Insurance Services","2003",25,
"Wairoa District","Geographic Units","N Administrative and Support Services","2003",12,
"Gisborne District","Geographic Units","N Administrative and Support Services","2003",72,
"Gisborne District","Employee Count","K Financial and Insurance Services","2003",160,
"Gisborne District","Employee Count","M Professional, Scientific and Technical Services","2003",640,
"Opotiki District","Employee Count","M Professional, Scientific and Technical Services","2003",65,
"Opotiki District","Employee Count","K Financial and Insurance Services","2003",25,
"Opotiki District","Geographic Units","N Administrative and Support Services","2003",15,
"Kawerau District","Geographic Units","N Administrative and Support Services","2003",12,
"Kawerau District","Employee Count","K Financial and Insurance Services","2003",35,
"Kawerau District","Employee Count","M Professional, Scientific and Technical Services","2003",9,
"Whakatane District","Employee Count","M Professional, Scientific and Technical Services","2003",350,
"Whakatane District","Employee Count","K Financial and Insurance Services","2003",160,
"Whakatane District","Geographic Units","N Administrative and Support Services","2003",66,
"Rotorua District","Geographic Units","N Administrative and Support Services","2003",171,
"Rotorua District","Employee Count","K Financial and Insurance Services","2003",440,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2003",1450,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2003",2300,
"Tauranga City","Employee Count","K Financial and Insurance Services","2003",810,
"Tauranga City","Geographic Units","N Administrative and Support Services","2003",315,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2003",114,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2003",80,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2003",360,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2003",440,
"Taupo District","Employee Count","K Financial and Insurance Services","2003",150,
"Taupo District","Geographic Units","N Administrative and Support Services","2003",96,
"Waitomo District","Geographic Units","N Administrative and Support Services","2003",18,
"Waitomo District","Employee Count","K Financial and Insurance Services","2003",40,
"South Waikato District","Employee Count","K Financial and Insurance Services","2003",60,
"South Waikato District","Geographic Units","N Administrative and Support Services","2003",30,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2003",12,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2003",18,
"Waipa District","Employee Count","K Financial and Insurance Services","2003",170,
"Waipa District","Geographic Units","N Administrative and Support Services","2003",105,
"Hamilton City","Geographic Units","N Administrative and Support Services","2003",369,
"Hamilton City","Employee Count","K Financial and Insurance Services","2003",1500,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2003",160,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2003",51,
"Waikato District","Geographic Units","N Administrative and Support Services","2003",87,
"Waikato District","Employee Count","K Financial and Insurance Services","2003",60,
"Hauraki District","Employee Count","K Financial and Insurance Services","2003",45,
"Hauraki District","Geographic Units","N Administrative and Support Services","2003",21,
"Thames-Coromandel District","Employee Count","K Financial and Insurance Services","2003",110,
"Thames-Coromandel District","Geographic Units","N Administrative and Support Services","2003",81,
"Auckland","Geographic Units","N Administrative and Support Services","2003",5310,
"Auckland","Employee Count","K Financial and Insurance Services","2003",19400,
"Kaipara District","Employee Count","K Financial and Insurance Services","2003",35,
"Kaipara District","Geographic Units","N Administrative and Support Services","2003",21,
"Whangarei District","Geographic Units","N Administrative and Support Services","2003",177,
"Whangarei District","Employee Count","K Financial and Insurance Services","2003",430,
"Far North District","Employee Count","K Financial and Insurance Services","2003",160,
"Far North District","Geographic Units","N Administrative and Support Services","2003",108,
"Total New Zealand (Territorial Authority)","Geographic Units","N Administrative and Support Services","2003",12219,
"Total New Zealand (Territorial Authority)","Employee Count","K Financial and Insurance Services","2003",42900,
"Invercargill City","Employee Count","K Financial and Insurance Services","2003",520,
"Invercargill City","Employee Count","I Transport, Postal and Warehousing","2003",1050,
"Invercargill City","Geographic Units","L Rental, Hiring and Real Estate Services","2003",603,
"Invercargill City","Geographic Units","K Financial and Insurance Services","2003",177,
"Invercargill City","Employee Count","J Information Media and Telecommunications","2003",690,
"Gore District","Employee Count","J Information Media and Telecommunications","2003",90,
"Gore District","Geographic Units","K Financial and Insurance Services","2003",24,
"Gore District","Geographic Units","L Rental, Hiring and Real Estate Services","2003",261,
"Gore District","Employee Count","I Transport, Postal and Warehousing","2003",300,
"Gore District","Employee Count","K Financial and Insurance Services","2003",90,
"Southland District","Employee Count","K Financial and Insurance Services","2003",35,
"Southland District","Employee Count","I Transport, Postal and Warehousing","2003",1150,
"Southland District","Geographic Units","L Rental, Hiring and Real Estate Services","2003",1032,
"Southland District","Geographic Units","K Financial and Insurance Services","2003",36,
"Southland District","Employee Count","J Information Media and Telecommunications","2003",18,
"Clutha District","Employee Count","J Information Media and Telecommunications","2003",30,
"Clutha District","Geographic Units","K Financial and Insurance Services","2003",24,
"Clutha District","Geographic Units","L Rental, Hiring and Real Estate Services","2003",351,
"Clutha District","Employee Count","I Transport, Postal and Warehousing","2003",310,
"Clutha District","Employee Count","K Financial and Insurance Services","2003",50,
"Dunedin City","Employee Count","K Financial and Insurance Services","2003",1400,
"Dunedin City","Employee Count","I Transport, Postal and Warehousing","2003",2050,
"Dunedin City","Geographic Units","L Rental, Hiring and Real Estate Services","2003",1380,
